USERNAME,EMAIL,ACCOUNT_NAME,ACCOUNT_ID,ACCOUNT_LEVEL,WINS,LOSSES,LEAGUE_POINTS,RANK,TIER,ROLE,SCHEDULE_TIME_START,SCHEDULE_TIME_END,EXTRAVERSION,AGREEABLENESS,CONSCIENTIOUSNESS,NEUROTICISM,OPENNESS,CLUSTER
,,,,602,103,80,198,0,0,0,20,0,2,4,3,2,4,850
,,,,191,279,281,111,0,6,2,17,21,1,1,1,3,4,1011
,,,,453,114,111,50,3,5,4,7,11,2,4,1,4,3,793
,,,,544,312,283,184,1,6,2,18,19,3,4,3,4,4,907
,,,,129,356,316,203,1,0,2,6,10,2,1,4,2,2,428
,,,,362,141,123,194,0,8,3,15,16,3,4,3,1,1,325
,,,,404,222,233,145,1,4,2,20,23,3,3,1,4,4,22
,,,,254,307,292,149,2,6,0,10,14,4,4,4,4,3,1246
,,,,232,93,63,241,3,8,1,2,5,1,4,2,1,2,436
,,,,70,248,256,43,0,8,4,2,6,1,3,4,1,4,648
,,,,427,134,121,277,3,4,4,21,23,1,4,1,1,1,517
,,,,141,117,114,331,2,8,0,18,22,2,3,2,3,4,941
,,,,444,411,377,420,3,0,3,5,7,4,4,2,4,3,722
,,,,269,51,59,1,1,7,2,2,4,4,1,2,2,1,772
,,,,296,260,249,46,0,3,3,14,18,4,2,3,4,4,832
,,,,441,287,280,9,0,2,4,20,0,1,4,4,2,1,739
,,,,149,69,28,273,0,0,3,16,17,2,1,3,2,3,712
,,,,433,219,205,16,1,0,4,4,5,1,2,2,4,4,259
,,,,559,133,86,383,2,0,3,14,18,4,3,2,4,2,609
,,,,671,117,99,49,0,6,4,22,2,4,3,1,4,4,798
,,,,478,458,431,242,0,8,2,4,8,2,3,1,1,2,790
,,,,322,187,151,63,2,3,2,15,16,1,1,3,2,1,755
,,,,585,468,450,124,2,1,4,0,2,4,1,4,4,2,597
,,,,311,436,409,18,2,8,0,16,17,2,3,1,3,4,941
,,,,524,81,49,68,3,6,1,0,3,4,1,2,1,3,1119
,,,,112,195,164,105,2,8,4,10,13,2,2,3,1,2,874
,,,,66,557,526,155,1,6,2,9,11,1,1,4,3,2,1180
,,,,20,201,193,1,3,4,0,18,19,1,3,4,2,1,65
,,,,404,124,101,21,3,5,2,14,18,3,1,3,1,4,1187
,,,,437,164,138,278,3,7,0,21,22,1,2,1,1,4,800
,,,,297,119,98,0,2,8,3,12,14,4,4,4,1,1,67
,,,,526,436,399,215,0,6,3,23,0,3,3,2,4,2,171
,,,,215,203,175,157,2,5,4,20,21,2,2,3,4,3,108
,,,,596,203,178,16,0,0,4,17,21,4,4,2,3,1,71
,,,,190,217,171,1,0,6,1,8,10,2,2,1,1,3,419
,,,,164,239,230,305,2,6,4,2,5,2,4,3,1,4,754
,,,,432,263,251,262,1,2,0,6,10,1,1,1,2,4,1033
,,,,632,82,57,0,3,6,3,5,7,1,4,3,4,4,225
,,,,144,209,182,1,0,0,1,10,11,2,4,2,2,2,693
,,,,544,120,96,124,3,8,1,19,21,2,2,1,3,1,903
,,,,331,267,263,0,1,0,4,1,4,2,4,3,4,4,879
,,,,542,595,582,367,2,8,3,6,8,3,2,3,1,1,282
,,,,501,412,362,487,0,8,4,14,17,4,2,2,2,2,786
,,,,39,222,226,139,3,4,1,6,10,2,2,3,3,2,1110
,,,,214,258,240,1,1,6,0,19,22,4,4,2,1,3,856
,,,,681,513,464,1,1,3,1,19,20,4,4,4,3,2,207
,,,,246,214,187,220,0,7,0,0,1,1,2,4,4,2,39
,,,,148,183,170,54,1,8,3,0,3,1,3,4,1,2,620
,,,,348,235,190,61,1,7,3,22,1,4,1,3,1,1,557
,,,,40,213,189,203,1,0,3,11,13,4,3,4,1,1,758
,,,,504,98,104,1,0,8,1,0,1,2,3,3,4,4,745
,,,,300,174,169,223,0,3,0,6,8,1,3,4,4,4,301
,,,,674,587,574,339,1,5,2,3,7,2,3,3,1,1,1050
,,,,348,78,51,16,1,5,3,21,22,1,3,1,3,4,1242
,,,,62,191,142,483,3,5,4,3,5,1,1,2,1,2,413
,,,,398,129,108,222,2,6,0,12,14,4,1,2,2,3,27
,,,,35,135,136,99,3,5,4,11,15,2,3,3,4,3,2
,,,,374,376,340,58,3,2,0,10,14,4,1,1,1,2,779
,,,,398,81,81,62,3,0,2,6,7,4,4,2,3,3,722
,,,,507,343,359,28,2,4,3,6,10,2,2,3,4,3,397
,,,,676,192,177,25,3,6,2,16,20,4,3,2,1,4,668
,,,,208,267,226,123,0,6,3,9,11,2,2,3,4,4,1214
,,,,23,88,66,17,1,7,0,12,16,4,3,2,3,2,1209
,,,,555,467,441,89,0,1,4,6,7,1,1,2,2,2,453
,,,,427,148,146,70,0,1,4,19,22,4,2,3,2,3,265
,,,,47,199,200,44,0,4,0,7,11,2,1,1,3,4,1173
,,,,357,396,386,465,1,3,2,7,10,3,2,2,3,1,899
,,,,209,75,39,17,0,0,0,2,6,4,3,4,2,3,323
,,,,164,424,383,17,2,6,3,14,17,1,3,1,1,2,208
,,,,128,139,127,113,0,4,4,1,2,1,1,4,2,4,149
,,,,261,33,13,0,0,2,4,21,22,2,3,2,4,3,1046
,,,,584,77,54,107,0,6,3,9,12,3,3,1,1,3,1047
,,,,616,522,505,30,2,7,0,18,20,3,1,1,4,1,766
,,,,64,177,166,261,2,4,4,8,9,3,4,1,3,2,1015
,,,,215,130,103,297,0,5,2,1,2,1,1,2,2,1,107
,,,,297,276,248,97,0,7,2,1,5,2,2,3,4,2,869
,,,,540,154,145,8,2,4,2,4,5,4,2,2,2,1,772
,,,,278,136,100,1,0,2,4,16,17,1,2,1,1,2,524
,,,,412,133,117,17,1,5,3,9,11,2,1,4,2,2,1147
,,,,217,844,813,287,1,1,2,16,18,4,2,2,4,4,219
,,,,515,283,257,20,0,0,4,0,3,4,4,4,3,4,1084
,,,,676,517,520,339,1,5,0,15,17,3,2,2,2,4,227
,,,,495,131,113,382,0,4,3,15,19,4,2,1,2,3,464
,,,,215,57,55,94,0,5,2,5,9,2,3,1,4,4,272
,,,,184,240,231,206,1,6,1,15,16,4,1,3,4,4,1131
,,,,166,121,109,1,3,6,4,21,0,4,1,3,3,3,885
,,,,652,261,255,180,0,6,1,16,19,1,3,3,2,3,191
,,,,581,226,222,20,3,8,1,2,3,1,2,4,4,4,159
,,,,515,267,259,218,3,5,3,21,1,1,1,4,4,3,1205
,,,,530,158,143,9,2,3,3,4,7,3,4,2,2,2,558
,,,,46,487,473,15,3,8,3,17,21,2,4,2,2,3,698
,,,,111,203,175,402,1,1,1,16,20,3,1,2,3,3,219
,,,,247,235,193,307,0,3,2,19,22,4,1,1,2,2,333
,,,,32,359,350,76,0,5,0,14,17,4,1,4,3,2,103
,,,,694,331,311,0,0,2,4,9,11,2,4,1,3,4,1184
,,,,95,220,192,5,1,5,1,14,15,4,3,4,4,3,802
,,,,688,202,192,40,1,1,4,3,5,1,1,1,4,4,259
,,,,382,335,305,99,2,5,3,22,1,3,4,2,3,1,483
,,,,151,94,62,460,3,8,4,1,3,4,1,3,2,2,1066
,,,,452,527,501,283,0,0,2,15,19,1,2,2,2,2,864
,,,,348,95,97,164,0,0,2,10,14,3,2,3,2,4,511
,,,,267,138,125,186,0,1,3,6,10,4,3,2,2,1,260
,,,,8,533,508,44,3,8,1,22,1,4,2,3,2,4,898
,,,,338,874,851,69,3,5,4,22,0,1,2,1,1,3,759
,,,,592,71,50,0,0,8,0,16,20,2,2,4,3,4,224
,,,,179,154,130,500,3,8,4,11,12,3,2,3,2,3,874
,,,,677,345,323,1,3,7,4,0,4,1,3,4,1,3,999
,,,,332,296,283,105,2,8,4,0,2,3,3,2,4,4,231
,,,,493,497,478,529,3,2,2,19,21,3,1,3,4,1,1149
,,,,153,534,456,308,3,8,2,22,0,2,3,4,4,1,593
,,,,609,101,83,22,0,0,2,12,15,2,3,1,2,4,727
,,,,511,304,241,32,3,8,2,23,0,3,1,2,3,2,17
,,,,616,170,160,93,0,3,3,10,14,4,1,3,2,1,948
,,,,320,236,201,222,1,1,1,18,20,4,3,3,3,1,504
,,,,330,220,188,200,1,3,2,14,15,2,2,4,1,2,768
,,,,650,129,79,448,0,7,0,6,7,4,2,2,3,4,352
,,,,251,133,92,235,1,3,3,5,7,1,4,1,2,4,415
,,,,247,38,17,226,1,4,2,5,8,4,1,2,2,4,730
,,,,77,94,75,200,0,1,2,2,5,4,2,1,4,3,439
,,,,681,151,121,203,3,5,1,22,23,3,1,1,1,1,278
,,,,202,186,142,382,3,8,2,18,21,1,3,3,3,1,461
,,,,650,275,261,209,1,0,3,6,9,3,3,2,2,3,797
,,,,559,157,98,214,1,6,4,8,12,2,3,1,4,1,738
,,,,223,226,191,217,1,8,2,3,4,2,2,3,4,4,745
,,,,666,156,124,205,3,4,1,18,22,4,2,1,3,2,988
,,,,112,119,79,299,1,5,0,11,12,2,2,4,4,1,1100
,,,,321,52,28,223,2,6,1,22,2,1,1,2,2,3,611
,,,,561,168,114,183,1,7,1,3,4,2,2,4,3,1,234
,,,,276,106,79,206,2,8,1,18,21,4,2,3,1,2,940
,,,,226,331,332,221,0,2,3,12,14,3,1,4,3,4,832
,,,,546,180,140,311,2,8,1,8,12,1,1,2,3,1,313
,,,,94,196,174,217,1,2,1,4,8,4,4,1,2,1,1181
,,,,406,175,113,469,3,3,2,6,10,3,3,3,3,2,913
,,,,282,115,77,370,3,5,2,16,20,4,2,4,2,4,456
,,,,335,118,64,404,3,3,3,3,5,2,2,3,1,1,979
,,,,536,58,30,319,0,2,0,16,18,1,3,2,3,1,876
,,,,361,277,202,249,3,4,4,15,17,1,4,1,3,3,340
,,,,244,177,164,36,2,2,2,18,22,1,4,4,4,1,1233
,,,,55,73,64,20,1,8,4,9,13,4,2,2,4,3,1140
,,,,19,106,82,92,3,0,4,15,16,1,1,4,4,3,302
,,,,114,201,161,122,2,1,0,22,23,2,3,3,3,3,1231
,,,,374,110,71,183,3,7,4,16,19,3,3,2,1,4,1005
,,,,542,51,34,1,3,0,4,14,18,2,1,4,1,3,791
,,,,373,146,108,135,2,1,2,1,5,2,1,1,3,2,663
,,,,606,349,342,85,1,7,0,8,10,2,1,1,4,2,39
,,,,617,113,85,1,0,0,1,9,10,1,1,1,4,1,910
,,,,591,72,58,0,2,2,3,8,10,1,4,4,1,2,462
,,,,527,85,66,1,3,2,1,7,11,2,1,1,2,4,209
,,,,543,302,256,149,2,7,0,17,21,3,4,1,3,3,1107
,,,,288,107,87,18,3,2,1,17,19,3,1,1,4,3,1202
,,,,103,261,231,1,1,4,3,21,1,2,2,2,2,2,1062
,,,,617,239,211,101,1,5,4,20,0,2,2,3,3,4,1078
,,,,154,344,295,361,0,4,4,6,7,1,2,3,3,2,1090
,,,,114,150,122,328,2,6,4,10,11,4,2,2,4,4,715
,,,,398,108,99,440,1,6,3,13,14,1,3,2,1,1,246
,,,,626,153,146,340,2,1,3,12,15,4,4,4,3,4,585
,,,,318,344,320,572,0,6,3,3,6,4,3,1,2,4,1001
,,,,375,319,315,334,3,4,1,18,21,4,2,2,2,2,278
,,,,673,149,123,617,0,7,1,8,9,1,1,1,3,4,116
,,,,172,280,269,597,3,8,1,1,2,3,4,2,2,3,603
,,,,157,126,86,380,2,1,0,11,12,3,2,1,3,1,774
,,,,549,157,120,332,0,2,1,19,23,2,3,4,3,2,1064
,,,,79,245,228,455,1,6,3,1,2,3,3,1,1,4,884
,,,,316,185,181,362,2,5,1,6,8,1,1,1,2,4,1033
,,,,549,135,125,430,3,7,3,5,9,1,2,2,2,1,238
,,,,581,259,223,41,3,1,3,12,16,3,1,2,1,4,232
,,,,220,189,182,188,0,1,0,8,12,3,3,3,4,1,180
,,,,23,183,162,184,1,7,3,2,3,2,3,2,4,3,272
,,,,432,314,279,182,3,4,0,20,23,1,2,3,1,1,986
,,,,177,252,222,134,0,6,0,10,14,3,1,1,4,3,853
,,,,39,104,82,3,2,5,3,22,2,4,1,2,2,2,0
,,,,309,109,87,1,3,0,1,10,14,3,1,1,2,1,1042
,,,,209,92,62,1,2,6,0,7,9,1,1,4,2,3,1180
,,,,441,207,198,4,3,8,3,3,4,4,2,3,2,2,282
,,,,5,171,160,16,2,3,2,19,23,4,1,1,2,4,139
,,,,362,130,122,50,3,6,1,2,5,4,4,1,4,2,281
,,,,279,112,85,65,2,8,1,23,1,3,3,3,3,1,893
,,,,59,173,171,9,1,1,0,0,4,4,1,4,1,3,323
,,,,344,271,236,738,0,5,4,11,12,4,1,4,3,2,1194
,,,,624,245,228,769,1,6,3,9,12,2,3,1,4,4,1222
,,,,227,141,107,715,1,2,0,23,0,2,3,4,2,2,536
,,,,482,328,300,831,2,8,4,12,16,4,2,1,2,2,786
,,,,679,261,224,875,1,0,1,22,1,4,2,3,4,1,1179
,,,,292,302,275,705,0,2,2,8,9,3,2,4,1,2,478
,,,,269,678,619,747,2,0,4,6,9,3,2,1,1,3,145
,,,,373,208,162,1032,0,8,3,22,23,2,4,2,4,1,460
,,,,61,157,119,1034,0,4,3,22,1,1,3,3,2,1,1217
,,,,350,100,62,722,1,2,0,15,18,4,4,4,3,1,614
,,,,138,293,243,708,2,1,4,0,1,4,3,1,1,4,884
,,,,282,324,266,1320,2,0,2,23,1,1,1,3,1,3,829
,,,,661,540,502,728,1,4,1,2,5,2,4,2,2,3,675
,,,,359,171,145,731,3,6,1,20,21,4,4,3,2,3,761
,,,,246,195,166,874,1,6,4,10,14,4,1,1,4,1,666
,,,,33,330,268,1264,0,7,3,9,11,4,3,1,4,2,1120
,,,,130,119,83,1023,1,5,4,8,9,1,4,1,4,3,1148
,,,,229,200,174,755,3,8,0,8,11,2,2,3,1,2,131
,,,,205,133,94,931,1,4,1,5,6,1,2,3,4,3,514
,,,,667,88,50,778,0,2,1,21,23,4,2,2,3,1,976
,,,,428,180,147,913,0,6,1,16,19,4,2,3,4,1,1026
,,,,350,526,488,792,2,3,2,8,10,4,4,3,4,4,411
,,,,422,292,265,799,3,5,1,9,13,2,1,2,1,2,131
,,,,66,193,132,1322,3,4,4,16,17,3,3,1,2,1,377
,,,,188,161,127,747,2,4,4,13,14,3,3,1,3,4,708
,,,,667,279,248,861,2,6,2,12,13,1,2,2,2,4,826
,,,,94,325,301,378,2,8,4,11,13,4,2,2,3,1,1122
,,,,180,185,173,418,2,6,4,17,20,4,3,2,4,3,432
,,,,556,148,128,517,3,8,1,22,2,3,1,4,1,3,652
,,,,149,428,410,317,3,3,1,22,0,2,1,3,1,3,573
,,,,632,182,159,406,3,6,2,10,13,2,4,1,1,4,1132
,,,,479,272,247,313,2,5,3,3,6,3,4,2,2,3,904
,,,,293,481,446,491,1,8,4,9,12,3,3,1,2,3,427
,,,,398,176,153,323,3,3,2,3,4,4,4,2,2,3,722
,,,,572,205,138,335,1,6,1,3,7,4,2,1,1,2,253
,,,,111,214,198,335,1,6,4,10,14,2,4,2,2,3,476
,,,,610,155,142,327,3,3,3,16,20,1,4,4,2,4,274
,,,,153,71,60,314,0,7,4,7,11,1,4,2,1,3,476
,,,,20,79,60,356,1,4,0,21,1,1,2,4,4,3,553
,,,,399,37,19,89,3,5,0,12,14,1,3,1,2,2,1024
,,,,245,138,117,1,0,4,1,21,23,4,2,2,2,2,967
,,,,177,163,132,25,1,3,1,0,3,3,4,2,4,4,895
,,,,522,363,327,1,0,7,3,14,15,4,3,1,4,2,618
,,,,474,29,12,185,1,4,2,22,0,3,3,3,1,3,850
,,,,567,127,98,10,3,7,2,8,12,1,2,1,3,3,1116
,,,,177,174,131,0,1,2,2,9,10,1,3,1,2,3,140
,,,,332,185,173,1,2,1,1,4,5,4,2,1,1,2,1028
,,,,682,387,343,177,2,5,0,16,19,1,1,4,4,4,1220
,,,,544,129,96,192,3,5,3,1,5,3,2,1,1,3,412
,,,,499,139,115,1,1,2,3,0,3,4,1,1,3,1,1203
,,,,299,157,113,17,0,6,3,0,3,2,3,2,1,1,635
,,,,373,68,53,49,3,1,2,15,17,2,3,1,4,4,8
,,,,10,60,48,156,3,8,1,0,4,4,1,3,3,4,324
,,,,365,127,97,1,2,7,2,22,23,1,1,3,2,3,360
,,,,489,162,138,0,2,5,1,5,8,3,4,2,2,2,1112
,,,,662,157,132,136,0,0,4,14,18,3,4,1,2,4,449
,,,,507,174,138,11,1,6,0,0,3,4,2,2,4,4,352
,,,,532,87,61,172,0,3,2,10,13,1,1,1,3,1,582
,,,,557,70,50,6,2,3,1,14,18,3,2,3,4,2,48
,,,,622,86,72,19,1,0,4,17,19,1,3,4,4,4,320
,,,,502,108,74,156,1,5,0,19,23,3,3,4,3,3,224
,,,,528,226,213,16,1,3,4,10,11,4,1,3,2,4,42
,,,,217,97,72,1,0,6,3,13,14,1,3,1,2,1,338
,,,,62,169,135,3,2,6,2,21,22,1,3,4,3,1,556
,,,,527,148,130,110,0,8,3,8,12,2,4,4,2,4,189
,,,,573,328,269,727,3,6,0,7,9,1,1,3,4,2,532
,,,,65,430,389,1045,1,4,2,8,10,3,4,1,2,1,338
,,,,408,251,167,1749,0,5,3,16,19,3,2,3,2,1,1026
,,,,31,232,206,956,0,6,0,17,20,2,3,4,1,2,1074
,,,,386,338,327,722,1,8,0,11,12,1,1,3,4,2,39
,,,,310,88,60,702,2,6,1,7,8,4,3,4,2,1,26
,,,,424,474,389,825,1,8,4,1,2,1,1,4,2,4,901
,,,,267,332,308,707,0,8,2,0,1,2,2,4,1,2,1248
,,,,605,362,298,1530,1,5,3,2,6,4,3,4,3,1,26
,,,,380,228,207,695,2,1,4,1,4,4,3,2,1,2,974
,,,,426,135,109,711,0,2,2,12,14,1,3,1,1,2,45
,,,,517,335,262,711,2,8,3,0,1,1,3,1,3,1,738
,,,,637,135,106,716,2,0,1,18,19,1,3,1,3,4,835
,,,,140,247,215,356,3,5,0,4,7,3,2,4,1,4,939
,,,,479,116,62,324,1,3,4,21,1,1,1,1,4,1,834
,,,,48,197,168,532,0,8,0,16,17,2,3,3,3,4,7
,,,,165,170,132,368,3,8,4,16,19,2,1,4,2,3,24
,,,,608,164,126,638,2,8,4,18,22,2,3,4,4,4,545
,,,,505,160,131,641,1,6,4,23,0,3,1,2,4,3,1078
,,,,474,176,134,516,3,6,3,11,13,3,2,3,3,3,294
,,,,117,108,84,322,2,2,3,16,18,2,3,4,3,1,119
,,,,503,82,51,685,0,8,1,9,12,2,4,4,2,2,389
,,,,522,348,292,326,0,0,1,9,13,1,1,1,4,3,905
,,,,269,187,162,358,1,1,2,21,23,4,1,3,4,2,887
,,,,129,87,62,679,2,0,4,7,9,4,1,3,2,4,47
,,,,315,161,115,471,2,7,3,4,5,1,3,1,2,4,1116
,,,,219,103,86,8,0,1,3,20,21,3,2,4,4,4,832
,,,,694,193,162,1,1,1,4,7,11,1,1,2,3,4,259
,,,,178,200,174,1,2,3,3,17,18,1,2,2,1,3,1138
,,,,235,49,38,0,3,2,0,21,22,2,1,1,4,3,486
,,,,397,130,96,0,2,2,0,4,7,1,1,4,1,2,646
,,,,38,106,81,0,2,6,1,19,23,2,3,2,4,2,113
,,,,113,153,114,62,0,2,1,18,20,1,4,2,1,1,45
,,,,623,222,168,18,1,0,1,20,21,4,3,2,2,1,1170
,,,,85,199,158,130,2,8,1,9,13,2,2,1,4,1,763
,,,,68,260,203,168,3,3,3,18,22,1,4,1,1,4,284
,,,,595,516,469,102,1,3,2,10,14,3,3,1,1,1,1236
,,,,224,67,50,12,2,5,0,16,20,4,4,1,1,3,856
,,,,533,102,81,1,3,5,1,9,10,2,3,3,4,2,913
,,,,263,72,40,111,2,4,4,9,11,1,2,1,4,1,1092
,,,,305,211,172,16,2,0,2,2,5,1,2,1,4,4,1141
,,,,696,48,31,34,1,5,3,4,8,3,2,3,3,1,772
,,,,557,258,206,25,2,7,4,5,8,4,2,1,4,4,297
,,,,676,84,49,1,1,6,2,4,6,2,3,3,1,4,1240
,,,,94,139,137,46,3,0,3,13,15,1,3,4,1,2,32
,,,,688,170,121,129,3,1,3,6,8,1,4,3,2,3,1228
,,,,499,72,46,1,0,1,4,13,17,4,3,3,4,4,962
,,,,551,144,131,131,0,7,3,9,10,1,2,1,2,1,429
,,,,585,100,85,24,3,0,4,12,13,2,3,1,3,1,162
,,,,525,198,169,59,2,4,0,17,19,3,3,4,3,2,205
,,,,350,49,27,1,0,4,0,17,20,2,4,3,3,1,142
,,,,580,117,90,122,0,7,2,6,9,1,3,2,4,2,447
,,,,572,234,195,835,3,3,3,18,19,2,4,1,3,2,985
,,,,528,495,458,732,1,2,1,3,4,1,1,3,3,4,677
,,,,510,370,332,922,2,2,1,13,16,4,2,4,4,2,1052
,,,,612,206,178,887,1,0,0,22,0,1,4,2,3,3,44
,,,,228,180,113,689,2,2,2,9,11,1,2,1,3,1,1092
,,,,449,425,363,1444,0,3,0,8,11,4,3,3,1,4,81
,,,,332,362,336,952,0,7,3,16,17,4,4,3,2,3,778
,,,,161,126,113,698,3,7,1,14,18,4,1,3,1,3,126
,,,,464,306,266,1254,0,7,4,6,10,1,3,2,3,2,1039
,,,,398,416,374,695,2,3,2,13,15,3,1,4,1,1,737
,,,,496,126,103,733,0,0,1,11,15,1,1,2,2,1,842
,,,,67,243,189,786,3,1,1,6,9,2,3,2,3,1,53
,,,,342,457,420,829,3,3,3,23,0,3,4,2,1,4,59
,,,,485,293,260,442,0,1,4,16,20,3,3,2,1,4,449
,,,,241,161,121,457,2,8,1,1,5,3,2,3,2,2,1099
,,,,135,144,137,363,1,2,3,17,19,1,1,1,4,1,268
,,,,611,148,91,516,2,4,2,15,16,2,4,3,4,2,689
,,,,277,216,210,452,3,2,2,13,16,1,2,4,2,4,791
,,,,62,178,139,430,2,4,3,16,19,1,1,1,4,1,1092
,,,,554,128,104,381,3,5,4,14,17,3,2,1,2,3,822
,,,,503,110,78,349,1,0,1,11,13,2,3,1,2,1,842
,,,,668,193,142,401,3,3,3,20,23,2,4,1,1,1,1166
,,,,302,285,239,482,2,5,0,3,7,2,1,4,3,2,612
,,,,339,146,122,588,3,7,2,0,2,1,2,3,1,1,532
,,,,435,112,91,685,3,8,4,21,23,4,3,4,3,1,709
,,,,630,421,383,607,2,2,1,14,17,2,1,1,2,4,227
,,,,636,108,93,0,0,4,3,10,14,3,2,2,1,1,429
,,,,388,364,328,67,3,6,3,9,13,4,2,4,2,3,30
,,,,337,366,322,16,3,1,3,18,21,4,1,2,1,3,426
,,,,17,191,178,42,1,0,2,15,19,1,2,2,4,1,268
,,,,360,149,110,1100,0,0,4,23,2,3,3,4,1,3,627
,,,,662,172,125,1308,3,2,1,21,22,3,2,1,4,4,1097
,,,,590,214,185,688,0,7,3,17,19,3,3,2,1,1,786
,,,,672,89,53,725,2,4,2,5,8,1,2,4,2,1,836
,,,,583,164,143,689,0,0,2,14,16,4,2,3,3,2,955
,,,,180,162,131,850,2,2,0,17,20,1,3,4,2,3,326
,,,,528,202,149,1057,2,2,3,17,20,1,4,1,1,3,821
,,,,300,182,128,1157,2,7,4,7,11,2,2,2,1,2,874
,,,,261,408,379,751,2,0,3,9,11,1,4,4,1,2,1017
,,,,210,105,92,56,3,3,1,19,23,4,1,4,1,4,930
,,,,148,155,109,81,3,6,2,7,10,1,1,1,3,2,769
,,,,532,222,175,0,3,5,0,1,5,2,4,3,3,1,1158
,,,,667,205,173,39,2,7,1,5,6,4,2,2,4,3,352
,,,,187,120,83,157,0,0,2,12,16,3,2,3,3,4,89
,,,,417,86,71,1,0,7,2,19,22,4,2,3,1,3,867
,,,,311,322,279,70,1,3,4,3,6,4,1,1,3,4,1080
,,,,105,55,42,11,1,0,4,13,15,2,3,2,2,4,799
,,,,327,271,247,138,1,7,3,2,4,3,3,1,4,2,951
,,,,672,184,159,0,2,7,4,6,10,3,4,1,3,2,641
,,,,549,103,65,119,3,6,2,9,11,2,1,4,1,4,1187
,,,,194,221,191,153,3,8,3,2,5,4,2,2,2,4,231
,,,,412,53,29,135,3,5,1,10,11,3,2,3,3,3,1031
,,,,563,197,166,701,0,3,0,18,21,1,1,4,2,3,235
,,,,645,180,161,743,3,7,0,21,1,1,3,2,4,3,521
,,,,397,118,85,693,1,6,0,20,22,4,2,2,3,4,827
,,,,395,173,146,711,1,8,1,9,12,1,4,1,4,4,306
,,,,632,243,200,707,2,8,1,6,8,3,4,3,2,1,1158
,,,,178,230,197,886,3,0,0,1,2,1,4,2,2,1,53
,,,,294,86,48,694,3,3,4,0,4,4,3,3,1,1,825
,,,,553,226,208,810,2,7,3,2,4,4,1,4,4,1,63
,,,,225,163,116,1245,1,0,4,4,7,1,2,1,2,4,415
,,,,508,305,258,816,2,2,2,17,20,2,1,2,4,4,656
,,,,99,367,330,729,2,3,0,23,0,2,4,2,2,3,706
,,,,647,151,116,702,3,4,2,2,3,4,2,4,1,1,417
,,,,136,155,113,1028,0,5,1,16,17,1,1,3,1,4,1058
,,,,437,130,90,314,1,8,3,6,10,2,4,1,3,2,97
,,,,411,199,176,601,1,1,4,0,3,1,3,1,3,2,202
,,,,98,157,155,385,3,5,0,17,21,4,2,1,4,1,508
,,,,472,271,253,353,1,5,1,22,23,3,4,1,4,3,1107
,,,,617,201,171,378,3,8,3,13,17,4,1,1,1,3,608
,,,,349,152,113,418,3,4,1,2,5,2,4,4,4,4,136
,,,,224,203,191,316,2,3,1,11,14,2,4,4,4,2,390
,,,,429,273,258,605,1,8,3,8,11,1,3,2,3,3,1222
,,,,386,172,147,371,1,7,4,13,17,3,2,1,4,2,1204
,,,,103,222,186,314,0,7,3,23,0,2,1,3,1,2,279
,,,,322,227,197,630,2,1,0,3,4,3,3,4,1,3,76
,,,,665,179,165,404,0,3,2,18,22,3,4,1,1,1,18
,,,,122,91,63,474,3,8,0,8,11,3,1,1,3,4,339
,,,,520,90,61,704,2,5,3,17,20,3,1,1,2,3,822
,,,,32,192,162,821,0,0,2,8,12,1,2,1,4,2,132
,,,,413,135,97,690,3,7,1,4,5,1,1,3,3,1,532
,,,,450,123,84,785,0,5,4,0,3,4,4,2,2,2,99
,,,,675,238,195,1110,1,7,4,11,15,1,4,3,3,3,454
,,,,305,319,247,893,0,5,2,16,19,2,2,1,4,1,293
,,,,625,76,48,921,1,4,2,3,7,3,4,2,3,3,1157
,,,,35,195,165,816,0,2,0,11,14,4,4,4,4,4,551
,,,,241,137,107,808,3,0,3,20,0,2,1,2,4,4,85
,,,,35,136,119,698,0,0,0,2,5,2,2,1,1,4,129
,,,,182,291,261,715,1,4,1,12,15,2,1,4,1,1,737
,,,,451,138,86,931,1,8,0,2,6,3,2,2,2,3,366
,,,,23,154,122,713,3,6,2,13,16,1,3,2,2,3,630
,,,,65,159,140,104,1,5,1,9,12,4,2,1,3,4,1131
,,,,163,129,102,24,1,7,4,6,9,1,2,4,2,2,833
,,,,107,271,241,73,3,2,3,3,5,1,3,1,3,2,673
,,,,654,223,207,1,1,1,2,21,0,3,1,1,2,4,500
,,,,358,99,87,21,2,2,1,4,7,4,3,3,3,3,223
,,,,56,66,67,0,3,6,2,2,4,1,4,3,4,1,277
,,,,149,128,117,164,0,0,3,23,3,4,2,4,2,1,566
,,,,176,119,115,1,3,1,3,6,8,3,3,3,1,2,991
,,,,116,45,26,1,1,7,1,1,3,1,1,1,1,2,542
,,,,357,200,170,1,1,1,4,2,6,1,1,3,1,1,453
,,,,250,150,131,0,2,4,2,22,23,1,4,4,3,1,556
,,,,475,73,78,0,3,7,0,7,11,3,2,3,1,1,510
,,,,521,147,117,16,1,1,3,1,3,1,1,2,1,2,453
,,,,383,285,233,824,3,1,4,19,21,4,1,4,3,1,261
,,,,74,300,250,686,0,8,0,22,23,4,2,2,1,4,423
,,,,372,278,229,889,2,0,2,22,23,3,2,1,3,4,1097
,,,,601,208,162,1306,0,1,4,22,2,4,2,2,4,3,480
